request_id,run_id,run_name,workload_label,repetition,concurrency,prompt_index,prompt,engine,model,stream,started_at,ended_at,latency_ms,ttft_ms,completion_time_ms,output_tokens,output_tokens_estimated,tokens_per_sec,success,status_code,error_type,error_message
cb3a8069-2ab3-4b6c-8ec0-81f14529a448,20260316_174654,exp-vllm-public-concurrency32-stream-true,quickstart,1,1,0,Trade-off between throughput and latency in one sentence.,vllm,Qwen/Qwen2-0.5B-Instruct,True,2026-03-16T17:46:54.887617Z,2026-03-16T17:46:56.060940Z,1173.3264039994538,69.3777010001213,1173.3264039994538,27,True,23.011499534968763,True,200,,
9549a166-533e-4f18-abf3-9dec55b7a139,20260316_174654,exp-vllm-public-concurrency32-stream-true,quickstart,1,1,1,How would you reduce slow requests in a model API?,vllm,Qwen/Qwen2-0.5B-Instruct,True,2026-03-16T17:46:56.061514Z,2026-03-16T17:46:59.567869Z,3506.35757100099,56.15813300028094,3506.35757100099,79,True,22.530503064879145,True,200,,
413f8349-5f0d-411e-891b-bc54ce2088c9,20260316_174654,exp-vllm-public-concurrency32-stream-true,quickstart,1,1,2,Why run the same test at different concurrency levels?,vllm,Qwen/Qwen2-0.5B-Instruct,True,2026-03-16T17:46:59.568267Z,2026-03-16T17:47:03.079030Z,3510.7660880003095,55.40194999957748,3510.7660880003095,80,True,22.78704932049946,True,200,,
54372e9d-2c29-411c-a6a1-7596479266ab,20260316_174654,exp-vllm-public-concurrency32-stream-true,quickstart,1,1,3,List four reasons response time matters for chat apps.,vllm,Qwen/Qwen2-0.5B-Instruct,True,2026-03-16T17:47:03.079419Z,2026-03-16T17:47:06.655114Z,3575.698626000303,56.56876600005489,3575.698626000303,81,True,22.652915827697928,True,200,,
7c430ee5-06d4-4196-9394-0f0b2dd11c99,20260316_174654,exp-vllm-public-concurrency32-stream-true,quickstart,1,1,4,What should a benchmark report include to be reproducible?,vllm,Qwen/Qwen2-0.5B-Instruct,True,2026-03-16T17:47:06.655671Z,2026-03-16T17:47:10.190020Z,3534.3522370003484,56.046086001515505,3534.3522370003484,72,True,20.371483986866956,True,200,,
a8efa7da-db4f-419c-a35d-eda32221c94b,20260316_174654,exp-vllm-public-concurrency32-stream-true,quickstart,1,1,5,"Draft a one-line status update: API had 5xx errors for 2 minutes, now fixed.",vllm,Qwen/Qwen2-0.5B-Instruct,True,2026-03-16T17:47:10.190783Z,2026-03-16T17:47:10.833263Z,642.4860830011312,58.623334000003524,642.4860830011312,12,True,18.67744736811501,True,200,,
86faa583-e975-4408-8052-57e395d855f0,20260316_174654,exp-vllm-public-concurrency32-stream-true,quickstart,1,1,6,Trade-off between throughput and latency in one sentence.,vllm,Qwen/Qwen2-0.5B-Instruct,True,2026-03-16T17:47:10.833586Z,2026-03-16T17:47:11.711009Z,877.425344000585,57.38486199879844,877.425344000585,18,True,20.514565852326232,True,200,,
0af398e6-f06d-4acd-a309-9329b5e5d257,20260316_174654,exp-vllm-public-concurrency32-stream-true,quickstart,1,1,7,How would you reduce slow requests in a model API?,vllm,Qwen/Qwen2-0.5B-Instruct,True,2026-03-16T17:47:11.711274Z,2026-03-16T17:47:15.203972Z,3492.7010770006746,54.75152200051525,3492.7010770006746,79,True,22.61859754337767,True,200,,
3b14b36f-6aea-4bbe-8001-a1102a79c0cf,20260316_174654,exp-vllm-public-concurrency32-stream-true,quickstart,1,1,8,Why run the same test at different concurrency levels?,vllm,Qwen/Qwen2-0.5B-Instruct,True,2026-03-16T17:47:15.204299Z,2026-03-16T17:47:18.776293Z,3571.997498998826,55.13418900045508,3571.997498998826,78,True,21.836521448254697,True,200,,
3ca2c40d-a807-4a5a-b5b0-a5dcd1808ad9,20260316_174654,exp-vllm-public-concurrency32-stream-true,quickstart,1,1,9,List four reasons response time matters for chat apps.,vllm,Qwen/Qwen2-0.5B-Instruct,True,2026-03-16T17:47:18.776642Z,2026-03-16T17:47:22.432785Z,3656.144852999205,57.00751900076284,3656.144852999205,81,True,22.1544832758894,True,200,,
