request_id,run_id,run_name,workload_label,repetition,concurrency,prompt_index,prompt,engine,model,stream,started_at,ended_at,latency_ms,ttft_ms,completion_time_ms,output_tokens,output_tokens_estimated,tokens_per_sec,success,status_code,error_type,error_message
f1277ed2-d77a-48aa-a13b-8c9ccdf94bf5,20260315_230529,local-vllm-public,quickstart,1,1,0,Summarize the trade-off between throughput and tail latency.,vllm,Qwen/Qwen2-0.5B-Instruct,False,2026-03-15T23:05:29.106820Z,2026-03-15T23:05:32.809042Z,3702.1974590606987,,3702.1974590606987,96,False,25.930545591254496,True,200,,
2677b54f-4ff4-46bf-a4d4-e3bbfe62f869,20260315_230529,local-vllm-public,quickstart,1,1,1,Describe one practical way to reduce p99 latency in LLM serving.,vllm,Qwen/Qwen2-0.5B-Instruct,False,2026-03-15T23:05:32.809588Z,2026-03-15T23:05:36.064977Z,3255.367625039071,,3255.367625039071,96,False,29.489756936084234,True,200,,
02f4d85c-9fea-4080-b586-2f84d35da28a,20260315_230529,local-vllm-public,quickstart,1,1,2,Explain why concurrency sweeps reveal saturation behavior.,vllm,Qwen/Qwen2-0.5B-Instruct,False,2026-03-15T23:05:36.065338Z,2026-03-15T23:05:39.554279Z,3488.91870805528,,3488.91870805528,96,False,27.51568839318423,True,200,,
21bff3fe-d035-45f8-ba63-0b0ddfbfc016,20260315_230529,local-vllm-public,quickstart,1,1,3,Explain in 4 bullet points why TTFT matters for chat UX.,vllm,Qwen/Qwen2-0.5B-Instruct,False,2026-03-15T23:05:39.554833Z,2026-03-15T23:05:43.133200Z,3578.344416921027,,3578.344416921027,96,False,26.82804917996207,True,200,,
295e467e-7d8a-4e78-8003-a3eb06db8f3f,20260315_230529,local-vllm-public,quickstart,1,1,4,Give a checklist for reproducible inference benchmarking.,vllm,Qwen/Qwen2-0.5B-Instruct,False,2026-03-15T23:05:43.133677Z,2026-03-15T23:05:46.368972Z,3235.273625003174,,3235.273625003174,96,False,29.672915223640725,True,200,,
313ccb9b-2179-40a1-8479-da9692bb4e87,20260315_230529,local-vllm-public,quickstart,1,1,5,Write a short incident update for temporary 5xx spikes under load.,vllm,Qwen/Qwen2-0.5B-Instruct,False,2026-03-15T23:05:46.369504Z,2026-03-15T23:05:48.790135Z,2420.6135839922354,,2420.6135839922354,69,False,28.50516929108555,True,200,,
d5669e15-b5a2-4f81-896b-9f5cccaa4218,20260315_230529,local-vllm-public,quickstart,1,1,6,Summarize the trade-off between throughput and tail latency.,vllm,Qwen/Qwen2-0.5B-Instruct,False,2026-03-15T23:05:48.790523Z,2026-03-15T23:05:52.028322Z,3237.7784170676023,,3237.7784170676023,96,False,29.649959828611582,True,200,,
30d7f1d8-0092-42df-b87b-0e57a2a4b01f,20260315_230529,local-vllm-public,quickstart,1,1,7,Describe one practical way to reduce p99 latency in LLM serving.,vllm,Qwen/Qwen2-0.5B-Instruct,False,2026-03-15T23:05:52.028682Z,2026-03-15T23:05:55.280098Z,3251.395625062287,,3251.395625062287,96,False,29.525782485532172,True,200,,
4205a64a-4fe5-40c7-8ef1-8421586fb569,20260315_230529,local-vllm-public,quickstart,1,1,8,Explain why concurrency sweeps reveal saturation behavior.,vllm,Qwen/Qwen2-0.5B-Instruct,False,2026-03-15T23:05:55.280796Z,2026-03-15T23:05:58.473689Z,3192.870332975872,,3192.870332975872,96,False,30.06698988321411,True,200,,
d9a16454-455c-40b3-bec0-878d7508b673,20260315_230529,local-vllm-public,quickstart,1,1,9,Explain in 4 bullet points why TTFT matters for chat UX.,vllm,Qwen/Qwen2-0.5B-Instruct,False,2026-03-15T23:05:58.473996Z,2026-03-15T23:06:01.143787Z,2669.776250026189,,2669.776250026189,96,False,35.95806951951809,True,200,,
7658fc70-c0f8-49de-b1a2-c6035a5ed0de,20260315_230529,local-vllm-public,quickstart,1,1,10,Give a checklist for reproducible inference benchmarking.,vllm,Qwen/Qwen2-0.5B-Instruct,False,2026-03-15T23:06:01.147526Z,2026-03-15T23:06:03.971262Z,2823.719042004086,,2823.719042004086,96,False,33.99771668921623,True,200,,
ec44ff1b-4c9d-4528-99fc-e484ad5718b4,20260315_230529,local-vllm-public,quickstart,1,1,11,Write a short incident update for temporary 5xx spikes under load.,vllm,Qwen/Qwen2-0.5B-Instruct,False,2026-03-15T23:06:03.971696Z,2026-03-15T23:06:06.176741Z,2205.03358298447,,2205.03358298447,69,False,31.29204041718487,True,200,,
db0cb59f-9068-4326-98c6-ce04c3405a91,20260315_230529,local-vllm-public,quickstart,1,1,12,Summarize the trade-off between throughput and tail latency.,vllm,Qwen/Qwen2-0.5B-Instruct,False,2026-03-15T23:06:06.177236Z,2026-03-15T23:06:09.623566Z,3446.3078749831766,,3446.3078749831766,96,False,27.855897813676506,True,200,,
65b283d6-3267-409b-82fa-c9ec8a5e2c39,20260315_230529,local-vllm-public,quickstart,1,1,13,Describe one practical way to reduce p99 latency in LLM serving.,vllm,Qwen/Qwen2-0.5B-Instruct,False,2026-03-15T23:06:09.624767Z,2026-03-15T23:06:13.076673Z,3451.882084016688,,3451.882084016688,96,False,27.810915223469113,True,200,,
